,Country,EdLevel,YearsCodePro,Age,Gender,Salary
223,Russian Federation,Bachelor's Degree,26.0,40.0,Man,43404.0
224,Belgium,Master's Degree,9.0,40.0,Man,75669.0
225,Chile,Bachelor's Degree,2.0,20.0,Man,22584.0
226,United Kingdom of Great Britain and Northern Ireland,Bachelor's Degree,7.0,30.0,Man,103408.0
227,France,Master's Degree,5.0,30.0,Man,44320.0
233,United Kingdom of Great Britain and Northern Ireland,Less than a Bachelor's Degree,8.792445560306254,30.0,Man,51704.0
237,Germany,Less than a Bachelor's Degree,5.0,20.0,Man,51888.0
238,"Iran, Islamic Republic of...",Bachelor's Degree,7.0,30.0,Man,85500.0
244,France,Master's Degree,9.0,30.0,Man,64859.0
245,Germany,Less than a Bachelor's Degree,3.0,20.0,Man,42158.0
246,Germany,Bachelor's Degree,7.0,30.0,Man,32424.0
249,United States of America,Bachelor's Degree,2.0,20.0,Man,60000.0
252,France,Doctoral Degree,12.0,40.0,Man,35028.0
258,Germany,Doctoral Degree,8.0,40.0,Man,74588.0
259,Slovakia,Bachelor's Degree,4.0,30.0,Man,33732.0
260,Bulgaria,Master's Degree,8.0,30.0,Man,27852.0
261,United Kingdom of Great Britain and Northern Ireland,Bachelor's Degree,3.0,20.0,Man,50153.0
262,India,Master's Degree,11.0,30.0,Man,30716.0
263,France,Master's Degree,7.0,30.0,Man,77831.0
264,Denmark,Bachelor's Degree,3.0,30.0,Woman,81624.0
268,Germany,Master's Degree,2.0,20.0,Man,54049.0
271,France,Master's Degree,7.0,30.0,Man,41077.0
273,Finland,Bachelor's Degree,3.0,30.0,Man,45396.0
275,United Kingdom of Great Britain and Northern Ireland,Less than a Bachelor's Degree,2.0,20.0,Man,19389.0
276,France,Master's Degree,15.0,40.0,Man,77831.0
285,United States of America,Bachelor's Degree,9.0,30.0,Man,107972.0
286,Hong Kong (S.A.R.),Bachelor's Degree,7.0,30.0,Man,66897.0
289,Argentina,Less than a Bachelor's Degree,0.5,40.0,Man,75000.0
290,United Kingdom of Great Britain and Northern Ireland,Less than a Bachelor's Degree,6.0,30.0,Man,48472.0
292,United States of America,Bachelor's Degree,16.0,40.0,Man,120000.0
300,Spain,Doctoral Degree,5.0,30.0,Man,32429.0
305,Spain,Bachelor's Degree,4.0,30.0,Man,28105.0
309,Finland,Less than a Bachelor's Degree,20.0,50.0,Man,77832.0
312,United Kingdom of Great Britain and Northern Ireland,Doctoral Degree,4.0,30.0,Man,51704.0
313,Costa Rica,Bachelor's Degree,23.0,40.0,Man,18000.0
318,Germany,Bachelor's Degree,15.0,40.0,Man,70264.0
323,United States of America,Master's Degree,13.0,30.0,Man,115000.0
326,Ireland,Master's Degree,4.0,30.0,Man,65508.0
327,Germany,Master's Degree,21.0,40.0,Man,70264.0
333,Sweden,Bachelor's Degree,26.0,50.0,Man,81000.0
334,United States of America,Less than a Bachelor's Degree,22.0,40.0,Man,105000.0
335,Germany,Master's Degree,5.0,40.0,Man,56211.0
336,United Kingdom of Great Britain and Northern Ireland,Master's Degree,7.0,30.0,Man,64630.0
337,Turkey,Bachelor's Degree,3.0,20.0,Man,35508.0
338,Germany,Less than a Bachelor's Degree,11.0,30.0,Man,64859.0
345,United States of America,Master's Degree,10.0,30.0,Man,110000.0
347,United States of America,Bachelor's Degree,15.0,40.0,Man,120000.0
349,Armenia,Bachelor's Degree,6.0,30.0,Man,32604.0
351,Germany,Less than a Bachelor's Degree,6.0,20.0,Man,48644.0
354,Poland,Master's Degree,11.0,30.0,Man,54672.0
356,Netherlands,Less than a Bachelor's Degree,4.0,20.0,Man,35676.0
359,Canada,Bachelor's Degree,4.0,30.0,Man,75631.0
363,United States of America,Less than a Bachelor's Degree,39.0,65.0,Man,70000.0
364,Germany,Master's Degree,9.0,30.0,Man,58373.0
366,Greece,Bachelor's Degree,3.0,30.0,Man,25944.0
368,United States of America,Less than a Bachelor's Degree,4.0,30.0,Woman,58000.0
369,Germany,Bachelor's Degree,6.0,30.0,Man,61616.0
371,France,Doctoral Degree,13.0,40.0,Man,59454.0
373,Sweden,Doctoral Degree,3.0,30.0,Man,55224.0
